what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271236864515
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271236870390
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271236873625
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271236899875
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.100.v20090604,"org.eclipse.ltk.ui.refactoring",1271236902234
started,bundle,org.eclipse.compare.core,3.5.0.I20090430-0408,"org.eclipse.compare.core",1271236902500
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1271236902609
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1271236902968
started,bundle,org.eclipse.core.variables,3.2.200.v20090521,"org.eclipse.core.variables",1271236903328
activated,view,org.eclipse.mylyn.tasks.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1271236906078
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1271236906171
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.ContentOutline",1271236907859
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1271236907937
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271236909953
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271236914468
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1271236914765
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1271236914921
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271236916531
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271236923031
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1271236923234
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1271236923390
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271236924765
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271236933968
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1271236934171
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1271236934343
