what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1271245732736
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271246082153
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271246302723
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271246304516
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271246314279
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271246316880
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271246882072
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1271246884569
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271246888468
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271246897584
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271246901977
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271246992443
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271246993839
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271246997027
closed,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271246997214
stopped,bundle,org.eclipse.mylyn.ide.ant,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.ide.ant",1271246997734
stopped,bundle,org.eclipse.ant.ui,3.4.1.v20090901_r351,"org.eclipse.ant.ui",1271246997737
stopped,bundle,org.eclipse.compare.win32,1.0.0.I20090430-0408,"org.eclipse.compare.win32",1271246997773
stopped,bundle,org.eclipse.mylyn.java.tasks,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.java.tasks",1271246997773
stopped,bundle,org.eclipse.mylyn.java.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.java.ui",1271246997821
stopped,bundle,org.eclipse.jdt.junit,3.5.1.r351_v20090708-0800,"org.eclipse.jdt.junit",1271246997825
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.200.v20090528-1135,"org.eclipse.jdt.apt.ui",1271246997909
stopped,bundle,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui",1271246997909
stopped,bundle,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui",1271246997931
stopped,bundle,org.eclipse.mylyn.bugzilla.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.bugzilla.ui",1271246997931
